 ***** DATA CARD NO.  5   RP   0   181 1  1003 0 0  1.0  0.0                                                 - - - RADIATION PATTERNS - - -

  - - ANGLES - -           - POWER GAINS -       - - - POLARIZATION - - -    - - - E(THETA) - - -    - - - E(PHI) - - -
  THETA     PHI        VERT.   HOR.    TOTAL      AXIAL     TILT   SENSE     MAGNITUDE    PHASE      MAGNITUDE    PHASE 
 DEGREES  DEGREES       DB      DB      DB        RATIO     DEG.              VOLTS/M    DEGREES      VOLTS/M    DEGREES
  116.00     0.00     -82.84 -999.00  -82.84    0.00000     0.00 LHCP       7.20979e-05    90.08    0.00000e+00     0.00
  117.00     0.00     -82.91 -999.00  -82.91    0.00000     0.00 LHCP       7.15112e-05    90.06    0.00000e+00     0.00
  118.00     0.00     -82.99 -999.00  -82.99    0.00000     0.00 LHCP       7.09004e-05    90.04    0.00000e+00     0.00
  119.00     0.00     -83.07 -999.00  -83.07    0.00000     0.00 LHCP       7.02653e-05    90.02    0.00000e+00     0.00
  120.00     0.00     -83.15 -999.00  -83.15    0.00000     0.00 LHCP       6.96061e-05    89.99    0.00000e+00     0.00
  121.00     0.00     -83.23 -999.00  -83.23    0.00000     0.00 LHCP       6.89229e-05    89.96    0.00000e+00     0.00
  122.00     0.00     -83.32 -999.00  -83.32    0.00000     0.00 LHCP       6.82158e-05    89.93    0.00000e+00     0.00
  123.00     0.00     -83.42 -999.00  -83.42    0.00000     0.00 LHCP       6.74850e-05    89.90    0.00000e+00     0.00
  124.00     0.00     -83.51 -999.00  -83.51    0.00000     0.00 LHCP       6.67307e-05    89.87    0.00000e+00     0.00
  125.00     0.00     -83.62 -999.00  -83.62    0.00000     0.00 LHCP       6.59532e-05    89.83    0.00000e+00     0.00
  126.00     0.00     -83.72 -999.00  -83.72    0.00000     0.00 LHCP       6.51527e-05    89.80    0.00000e+00     0.00
  127.00     0.00     -83.83 -999.00  -83.83    0.00000     0.00 LHCP       6.43294e-05    89.76    0.00000e+00     0.00
  128.00     0.00     -83.95 -999.00  -83.95    0.00000     0.00 LHCP       6.34838e-05    89.72    0.00000e+00     0.00
  129.00     0.00     -84.07 -999.00  -84.07    0.00000     0.00 LHCP       6.26162e-05    89.68    0.00000e+00     0.00
  130.00     0.00     -84.19 -999.00  -84.19    0.00000     0.00 LHCP       6.17269e-05    89.64    0.00000e+00     0.00
  131.00     0.00     -84.32 -999.00  -84.32    0.00000     0.00 LHCP       6.08164e-05    89.60    0.00000e+00     0.00
  132.00     0.00     -84.45 -999.00  -84.45    0.00000     0.00 LHCP       5.98850e-05    89.56    0.00000e+00     0.00
  133.00     0.00     -84.59 -999.00  -84.59    0.00000     0.00 LHCP       5.89332e-05    89.52    0.00000e+00     0.00
  134.00     0.00     -84.74 -999.00  -84.74    0.00000     0.00 LHCP       5.79615e-05    89.48    0.00000e+00     0.00
  135.00     0.00     -84.89 -999.00  -84.89    0.00000     0.00 LHCP       5.69702e-05    89.44    0.00000e+00     0.00
  136.00     0.00     -85.04 -999.00  -85.04    0.00000     0.00 LHCP       5.59600e-05    89.40    0.00000e+00     0.00
  137.00     0.00     -85.20 -999.00  -85.20    0.00000     0.00 LHCP       5.49313e-05    89.37    0.00000e+00     0.00
  138.00     0.00     -85.37 -999.00  -85.37    0.00000     0.00 LHCP       5.38845e-05    89.33    0.00000e+00     0.00
  139.00     0.00     -85.54 -999.00  -85.54    0.00000     0.00 LHCP       5.28202e-05    89.29    0.00000e+00     0.00
  140.00     0.00     -85.72 -999.00  -85.72    0.00000     0.00 LHCP       5.17389e-05    89.25    0.00000e+00     0.00
  141.00     0.00     -85.91 -999.00  -85.91    0.00000     0.00 LHCP       5.06412e-05    89.22    0.00000e+00     0.00
  142.00     0.00     -86.10 -999.00  -86.10    0.00000     0.00 LHCP       4.95275e-05    89.18    0.00000e+00     0.00
